boxLength,numRectangles,minWidth,maxWidth,minHeight,maxHeight,theoretical lower bound,SizeOrderedBinPackingGreedy (boxes),SizeOrderedBinPackingGreedy (time),BoxClosingBinPackingGreedy (boxes),BoxClosingBinPackingGreedy (time),TopLeftFirstBoxMergingBinPacking (boxes),TopLeftFirstBoxMergingBinPacking (time),RectanglePermutationBinPacking (boxes),RectanglePermutationBinPacking (time),TopLeftFirstOverlappingBinPacking (boxes),TopLeftFirstOverlappingBinPacking (time)
10,1000,1,4,1,4,63,63,0.623,63,1.127,65,25.055,69,60.139,65,35.867
10,1000,1,4,1,4,62,62,0.464,62,1.071,63,32.987,67,60.95,64,39.432
10,1000,1,4,1,4,64,64,0.472,64,1.038,67,47.456,69,60.491,66,39.886
30,1000,1,10,1,10,34,34,0.621,35,1.255,35,60.244,38,60.497,37,60.071
30,1000,1,10,1,10,35,35,0.631,36,1.231,37,60.031,38,60.398,38,60.112
30,1000,1,10,1,10,33,34,0.635,34,1.201,35,60.255,37,60.025,36,60.077
20,777,1,5,1,5,18,18,0.351,18,0.672,18,34.483,18,18.328,19,52.255
20,777,1,5,1,5,18,18,0.362,18,0.639,18,42.091,18,15.999,19,42.421
20,777,1,5,1,5,18,18,0.353,18,0.639,19,29.656,18,29.676,19,36.959
40,777,1,10,1,10,15,15,0.498,15,0.779,16,60.346,16,36.488,17,60.161
40,777,1,10,1,10,15,15,0.472,15,0.922,16,60.229,16,11.634,16,60.071
40,777,1,10,1,10,16,16,0.463,16,0.822,17,60.18,17,60.316,17,60.224
100,2000,1,7,1,7,4,4,11.183,4,14.882,4,33.8,4,6.369,4,60.645
100,2000,1,7,1,7,4,4,12.073,4,15.778,4,43.455,4,4.936,4,60.343
100,2000,1,7,1,7,4,4,11.575,4,16.248,4,27.077,4,4.331,4,61.059
25,2000,1,3,1,3,13,13,2.359,13,3.594,14,44.381,13,35.225,14,60.155
25,2000,1,3,1,3,13,13,2.377,13,3.653,14,60.416,13,28.773,14,60.636
25,2000,1,3,1,3,14,14,2.504,14,3.709,14,60.612,14,33.312,14,60.324
17,999,2,5,2,5,41,43,0.641,43,0.928,44,26.218,44,54.75,45,34.404
17,999,2,5,2,5,44,46,0.609,46,0.967,48,26.308,47,24.347,48,38.861
17,999,2,5,2,5,44,46,0.62,45,0.959,47,13.811,49,61.647,48,60.268
23,1337,1,5,1,5,24,24,1.156,24,1.977,25,60.45,24,60.569,25,60.103
23,1337,1,5,1,5,23,23,1.068,23,1.947,24,60.207,24,61.859,24,60.291
23,1337,1,5,1,5,24,24,1.097,24,1.959,25,60.104,25,60.713,26,60.148
42,3000,1,5,1,6,18,18,7.678,18,9.669,19,61.395,19,65.684,19,60.006
42,3000,1,5,1,6,18,18,7.642,18,9.562,19,61.321,19,61.228,20,60.218
42,3000,1,5,1,6,18,18,8.102,18,9.49,19,60.012,19,66.676,20,60.105
32,2222,1,7,1,7,35,35,3.597,35,5.714,38,60.022,37,67.849,38,60.132
32,2222,1,7,1,7,34,34,3.614,35,5.895,37,60.37,37,63.881,38,60.201
32,2222,1,7,1,7,35,35,3.486,35,5.742,37,60.642,38,61.695,39,60.329
16,1111,1,7,1,7,70,70,0.657,71,1.449,73,60.076,76,60.009,76,60.05
16,1111,1,7,1,7,71,71,0.744,71,1.565,73,60.047,80,60.771,74,60.124
16,1111,1,7,1,7,67,67,0.838,67,1.871,68,60.054,79,60.48,71,60.192
50,3000,1,12,1,12,51,51,7.55,52,11.265,55,60.245,58,63.325,59,60.025
50,3000,1,12,1,12,52,52,7.508,53,11.691,60,60.122,58,62.714,60,60.16
10,2000,1,3,1,3,83,83,1.933,83,3.992,91,60.094,89,60.564,86,60.003
10,2000,1,3,1,3,80,80,1.981,80,3.982,86,60.261,85,64.617,83,60.366
20,2500,1,4,1,4,40,40,4.058,40,7.235,41,60.041,42,62.431,43,60.242
20,2500,1,4,1,4,40,40,3.599,40,6.928,42,60.092,41,63.022,42,60.146
100,3000,1,15,1,15,20,20,15.262,20,13.377,22,60.464,21,64.186,22,60.045
20,4000,1,4,1,4,63,63,9.106,63,17.315,68,60.008,66,69.679,68,60.163
25,5000,1,5,1,5,72,72,17.23,72,28.609,1762,60.01,76,97.667,79,60.371
,,,,,,35.9523809523809,36.1190476190476,3.75695238095238,36.2380952380952,5.55590476190476,78.1666666666667,51.7887619047619,38.7142857142857,51.1488095238095,38.5714285714286,56.3726428571429
